t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1622168420,19,3.036270,3.000000,3.000000,3.000000,events/second
1622168944,20,6.266544,0.000000,0.000000,0.000000,events/second
1622169869,16,0.263677,1.279519,2.663970,3.010300,events/second
1622169943,17,0.280559,1.294231,2.667221,3.011402,events/second
1622170003,17,0.140970,0.476121,2.183736,2.817187,events/second
1622170063,18,0.099696,0.183365,1.790785,2.636558,events/second
1622170219,16,0.263798,1.279519,2.663970,3.010300,events/second
1622170322,17,0.280722,1.286469,2.666768,3.011348,events/second
1622170464,17,0.280904,1.286469,2.666768,3.011348,events/second
1622170524,17,0.141102,0.473265,2.183365,2.817137,events/second
1622170584,17,0.094188,0.174105,1.787588,2.635451,events/second
1622170644,17,0.070698,0.064050,1.463553,2.465483,events/second
1622170704,17,0.056577,0.023562,1.198256,2.306477,events/second
1622170863,16,0.263491,1.279519,2.663970,3.010300,events/second
