t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1622168420,18,2.875898,2.800000,2.800000,2.800000,events/second
1622168944,18,5.639480,0.000000,0.000000,0.000000,events/second
1622169869,14,0.230718,1.119579,2.330974,2.634012,events/second
1622169943,14,0.231042,1.119579,2.330974,2.634012,events/second
1622170003,14,0.116091,0.411870,1.908440,2.464137,events/second
1622170063,14,0.077541,0.151519,1.562498,2.305217,events/second
1622170219,14,0.230819,1.119579,2.330974,2.634012,events/second
1622170322,14,0.231176,1.119579,2.330974,2.634012,events/second
1622170464,14,0.231331,1.119579,2.330974,2.634012,events/second
1622170524,14,0.116200,0.411870,1.908440,2.464137,events/second
1622170584,14,0.077567,0.151519,1.562498,2.305217,events/second
1622170644,14,0.058222,0.055741,1.279265,2.156547,events/second
1622170704,14,0.046593,0.020506,1.047374,2.017465,events/second
1622170863,14,0.230549,1.119579,2.330974,2.634012,events/second
