t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1622168420,0,0.000000,0.000000,0.000000,0.000000,events/second
1622168944,0,0.000000,0.000000,0.000000,0.000000,events/second
1622169869,0,0.000000,0.000000,0.000000,0.000000,events/second
1622169943,1,0.016503,0.014713,0.003251,0.001102,events/second
1622170003,1,0.008292,0.005412,0.002662,0.001031,events/second
1622170063,2,0.011077,0.010201,0.005072,0.002024,events/second
1622170219,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170322,1,0.016512,0.006950,0.002798,0.001048,events/second
1622170464,1,0.016523,0.006950,0.002798,0.001048,events/second
1622170524,1,0.008300,0.002557,0.002291,0.000981,events/second
1622170584,1,0.005540,0.000941,0.001876,0.000917,events/second
1622170644,1,0.004159,0.000346,0.001536,0.000858,events/second
1622170704,1,0.003328,0.000127,0.001257,0.000803,events/second
1622170863,0,0.000000,0.000000,0.000000,0.000000,events/second
