t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1622168420,1,0.159729,0.200000,0.200000,0.200000,events/second
1622168944,2,0.626375,0.000000,0.000000,0.000000,events/second
1622169869,2,0.032959,0.159940,0.332996,0.376287,events/second
1622169943,2,0.033005,0.159940,0.332996,0.376287,events/second
1622170003,2,0.016584,0.058839,0.272634,0.352020,events/second
1622170063,2,0.011077,0.021646,0.223214,0.329317,events/second
1622170219,2,0.032973,0.159940,0.332996,0.376287,events/second
1622170322,2,0.033024,0.159940,0.332996,0.376287,events/second
1622170464,2,0.033047,0.159940,0.332996,0.376287,events/second
1622170524,2,0.016600,0.058839,0.272634,0.352020,events/second
1622170584,2,0.011081,0.021646,0.223214,0.329317,events/second
1622170644,2,0.008317,0.007963,0.182752,0.308078,events/second
1622170704,2,0.006656,0.002929,0.149625,0.288209,events/second
1622170863,2,0.032934,0.159940,0.332996,0.376287,events/second
