t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1622169869,0,0.000000,0.000000,0.000000,0.000000,events/second
1622169943,1,0.016830,0.015991,0.003306,0.001108,events/second
1622170003,1,0.008374,0.005883,0.002706,0.001037,events/second
1622170063,2,0.011150,0.011088,0.005158,0.002035,events/second
1622170219,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170322,1,0.016773,0.007554,0.002845,0.001054,events/second
1622170464,1,0.016800,0.007554,0.002845,0.001054,events/second
1622170524,1,0.008369,0.002779,0.002329,0.000986,events/second
1622170584,1,0.005571,0.001022,0.001907,0.000922,events/second
1622170644,1,0.004176,0.000376,0.001562,0.000863,events/second
1622170704,1,0.003339,0.000138,0.001278,0.000807,events/second
1622170863,0,0.000000,0.000000,0.000000,0.000000,events/second
