t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1622169869,0,0.000000,0.000000,0.000000,0.000000,events/second
1622169943,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170003,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170063,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170219,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170322,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170464,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170524,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170584,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170644,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170704,0,0.000000,0.000000,0.000000,0.000000,events/second
1622170863,0,0.000000,0.000000,0.000000,0.000000,events/second
